id,name,category,market_score,status,created_date,target_demographics,region,ingredients,flavor_profile
19,Fresh Matcha Chips,Snacks,92.0,Active,2024-02-12,26-35,Asia Pacific,"Matcha,Green Tea,Vanilla","Herbal,Sweet"
20,Golden Turmeric Yogurt,Dairy,93.0,Active,2024-01-08,18-25,North America,"Turmeric,Ginger,Coconut Milk","Spicy,Earthy"
21,Organic Acai Bowl,Cereals,91.0,Active,2024-02-22,18-25,Latin America,"Acai,Berries,Banana","Fruity,Sweet"
22,Pure Spirulina Smoothie,Beverages,86.0,Active,2024-03-12,26-35,Europe,"Spirulina,Dates,Almonds","Earthy,Nutty"
23,Natural Quinoa Granola,Cereals,85.0,Active,2024-01-26,26-35,North America,"Quinoa,Almonds,Dates","Nutty,Mild"
24,Power Green Tea Ice Cream,Dairy,89.0,Active,2024-02-15,18-25,Asia Pacific,"Green Tea,Yogurt,Honey","Herbal,Fresh"
25,Artisan Coconut Cookies,Confectionery,87.0,Active,2024-03-03,18-25,Asia Pacific,"Coconut,Vanilla,Honey","Sweet,Tropical"
26,Premium Ginger Latte,Beverages,83.0,Active,2024-01-22,35-45,Asia Pacific,"Ginger,Green Tea,Vanilla","Spicy,Warm"
27,Fresh Oat Milk Yogurt,Dairy,84.0,Active,2024-02-08,26-35,North America,"Oat Milk,Vanilla,Honey","Sweet,Mild"
28,Super Dark Chocolate Bar,Confectionery,82.0,Active,2024-03-18,25-35,Europe,"Dark Chocolate,Vanilla,Honey","Bitter,Rich"
29,Golden Chickpeas Bites,Snacks,80.0,Active,2024-01-14,26-35,Europe,"Chickpeas,Sea Salt,Herbs","Savory,Nutty"
30,Organic Hibiscus Smoothie,Beverages,77.0,Active,2024-02-26,35-45,Africa,"Hibiscus,Ginger,Lemon","Floral,Spicy"
31,Pure Vanilla Ice Cream,Dairy,76.0,Active,2024-03-05,18-25,North America,"Vanilla,Honey,Sea Salt","Sweet,Mild"
32,Natural Honey Bar,Snacks,75.0,Active,2024-01-28,26-35,Europe,"Honey,Oats,Almonds","Sweet,Mild"
33,Power Sea Salt Chips,Snacks,74.0,Active,2024-02-18,36-45,North America,"Sea Salt,Oats,Vanilla","Sweet,Mild"
34,Artisan Almonds Granola,Cereals,73.0,Active,2024-03-08,26-35,North America,"Almonds,Honey,Sea Salt","Sweet,Mild"
35,Premium Coconut Water Tea,Beverages,81.0,Active,2024-01-16,18-25,Asia Pacific,"Coconut Water,Vanilla,Honey","Sweet,Tropical"
36,Fresh Maple Syrup Cookies,Confectionery,72.0,Active,2024-02-29,26-35,North America,"Maple Syrup,Oats,Vanilla","Sweet,Mild"
37,Super Matcha Yogurt,Dairy,95.0,Active,2024-03-15,26-35,Asia Pacific,"Matcha,Green Tea,Vanilla","Herbal,Sweet"
38,Golden Turmeric Chips,Snacks,90.0,Active,2024-01-05,18-25,North America,"Turmeric,Ginger,Coconut Milk","Spicy,Earthy"
39,Organic Acai Ice Cream,Dairy,89.0,Active,2024-02-11,18-25,Latin America,"Acai,Berries,Banana","Fruity,Sweet"
40,Pure Spirulina Granola,Cereals,84.0,Active,2024-03-20,26-35,Europe,"Spirulina,Dates,Almonds","Earthy,Nutty"
41,Natural Quinoa Tea,Beverages,83.0,Active,2024-01-09,26-35,North America,"Quinoa,Almonds,Dates","Nutty,Mild"
42,Power Green Tea Bowl,Cereals,87.0,Active,2024-02-24,18-25,Asia Pacific,"Green Tea,Yogurt,Honey","Herbal,Fresh"
43,Artisan Coconut Bar,Snacks,85.0,Active,2024-03-14,18-25,Asia Pacific,"Coconut,Vanilla,Honey","Sweet,Tropical"
44,Premium Ginger Cookies,Confectionery,81.0,Active,2024-01-31,35-45,Asia Pacific,"Ginger,Green Tea,Vanilla","Spicy,Warm"
45,Fresh Oat Milk Bowl,Cereals,82.0,Active,2024-02-17,26-35,North America,"Oat Milk,Vanilla,Honey","Sweet,Mild"
46,Super Dark Chocolate Chips,Snacks,80.0,Active,2024-03-09,25-35,Europe,"Dark Chocolate,Vanilla,Honey","Bitter,Rich"
47,Golden Chickpeas Granola,Cereals,78.0,Active,2024-01-23,26-35,Europe,"Chickpeas,Sea Salt,Herbs","Savory,Nutty"
48,Organic Hibiscus Ice Cream,Dairy,75.0,Active,2024-02-14,35-45,Africa,"Hibiscus,Ginger,Lemon","Floral,Spicy"
49,Pure Vanilla Granola,Cereals,74.0,Active,2024-03-11,18-25,North America,"Vanilla,Honey,Sea Salt","Sweet,Mild"
50,Natural Honey Cookies,Confectionery,73.0,Active,2024-01-27,26-35,Europe,"Honey,Oats,Almonds","Sweet,Mild"
51,Power Sea Salt Bowl,Cereals,72.0,Active,2024-02-20,36-45,North America,"Sea Salt,Oats,Vanilla","Sweet,Mild"
52,Artisan Almonds Bar,Snacks,71.0,Active,2024-03-16,26-35,North America,"Almonds,Honey,Sea Salt","Sweet,Mild"
53,Premium Coconut Water Smoothie,Beverages,79.0,Active,2024-01-13,18-25,Asia Pacific,"Coconut Water,Vanilla,Honey","Sweet,Tropical"
54,Fresh Maple Syrup Bowl,Cereals,70.0,Active,2024-02-27,26-35,North America,"Maple Syrup,Oats,Vanilla","Sweet,Mild"
55,Super Matcha Bar,Snacks,94.0,Active,2024-03-06,26-35,Asia Pacific,"Matcha,Green Tea,Vanilla","Herbal,Sweet"
56,Golden Turmeric Bowl,Cereals,88.0,Active,2024-01-19,18-25,North America,"Turmeric,Ginger,Coconut Milk","Spicy,Earthy"
57,Organic Acai Bar,Snacks,87.0,Active,2024-02-09,18-25,Latin America,"Acai,Berries,Banana","Fruity,Sweet"
58,Pure Spirulina Cookies,Confectionery,82.0,Active,2024-03-19,26-35,Europe,"Spirulina,Dates,Almonds","Earthy,Nutty"
59,Natural Quinoa Chips,Snacks,81.0,Active,2024-01-11,26-35,North America,"Quinoa,Almonds,Dates","Nutty,Mild"
60,Power Green Tea Bar,Snacks,85.0,Active,2024-02-23,18-25,Asia Pacific,"Green Tea,Yogurt,Honey","Herbal,Fresh"
61,Artisan Coconut Bowl,Cereals,83.0,Active,2024-03-13,18-25,Asia Pacific,"Coconut,Vanilla,Honey","Sweet,Tropical"
62,Premium Ginger Bar,Snacks,79.0,Active,2024-01-29,35-45,Asia Pacific,"Ginger,Green Tea,Vanilla","Spicy,Warm"
63,Fresh Oat Milk Bar,Snacks,80.0,Active,2024-02-16,26-35,North America,"Oat Milk,Vanilla,Honey","Sweet,Mild"
64,Super Dark Chocolate Bowl,Cereals,78.0,Active,2024-03-10,25-35,Europe,"Dark Chocolate,Vanilla,Honey","Bitter,Rich"
65,Golden Chickpeas Cookies,Confectionery,76.0,Active,2024-01-24,26-35,Europe,"Chickpeas,Sea Salt,Herbs","Savory,Nutty"
66,Organic Hibiscus Bar,Snacks,73.0,Active,2024-02-13,35-45,Africa,"Hibiscus,Ginger,Lemon","Floral,Spicy"
67,Pure Vanilla Bowl,Cereals,72.0,Active,2024-03-17,18-25,North America,"Vanilla,Honey,Sea Salt","Sweet,Mild"
68,Natural Honey Chips,Snacks,71.0,Active,2024-01-26,26-35,Europe,"Honey,Oats,Almonds","Sweet,Mild"
69,Power Sea Salt Bar,Snacks,70.0,Active,2024-02-19,36-45,North America,"Sea Salt,Oats,Vanilla","Sweet,Mild"
70,Artisan Almonds Chips,Snacks,69.0,Active,2024-03-07,26-35,North America,"Almonds,Honey,Sea Salt","Sweet,Mild"
71,Premium Coconut Water Bowl,Cereals,77.0,Active,2024-01-15,18-25,Asia Pacific,"Coconut Water,Vanilla,Honey","Sweet,Tropical"
72,Fresh Maple Syrup Bar,Snacks,68.0,Active,2024-02-28,26-35,North America,"Maple Syrup,Oats,Vanilla","Sweet,Mild"
73,Super Matcha Cookies,Confectionery,92.0,Active,2024-03-04,26-35,Asia Pacific,"Matcha,Green Tea,Vanilla","Herbal,Sweet"
74,Golden Turmeric Bar,Snacks,86.0,Active,2024-01-17,18-25,North America,"Turmeric,Ginger,Coconut Milk","Spicy,Earthy"
75,Organic Acai Cookies,Confectionery,85.0,Active,2024-02-10,18-25,Latin America,"Acai,Berries,Banana","Fruity,Sweet"
76,Pure Spirulina Bar,Snacks,80.0,Active,2024-03-21,26-35,Europe,"Spirulina,Dates,Almonds","Earthy,Nutty"
77,Natural Quinoa Cookies,Confectionery,79.0,Active,2024-01-12,26-35,North America,"Quinoa,Almonds,Dates","Nutty,Mild"
78,Power Green Tea Cookies,Confectionery,83.0,Active,2024-02-25,18-25,Asia Pacific,"Green Tea,Yogurt,Honey","Herbal,Fresh"
79,Artisan Coconut Chips,Snacks,81.0,Active,2024-03-18,18-25,Asia Pacific,"Coconut,Vanilla,Honey","Sweet,Tropical"
80,Premium Ginger Chips,Snacks,77.0,Active,2024-01-30,35-45,Asia Pacific,"Ginger,Green Tea,Vanilla","Spicy,Warm"
81,Fresh Oat Milk Chips,Snacks,78.0,Active,2024-02-15,26-35,North America,"Oat Milk,Vanilla,Honey","Sweet,Mild"
82,Super Dark Chocolate Cookies,Confectionery,76.0,Active,2024-03-12,25-35,Europe,"Dark Chocolate,Vanilla,Honey","Bitter,Rich"
83,Golden Chickpeas Bar,Snacks,74.0,Active,2024-01-25,26-35,Europe,"Chickpeas,Sea Salt,Herbs","Savory,Nutty"
84,Organic Hibiscus Chips,Snacks,71.0,Active,2024-02-12,35-45,Africa,"Hibiscus,Ginger,Lemon","Floral,Spicy"
85,Pure Vanilla Chips,Snacks,70.0,Active,2024-03-14,18-25,North America,"Vanilla,Honey,Sea Salt","Sweet,Mild"
86,Natural Honey Bowl,Cereals,69.0,Active,2024-01-28,26-35,Europe,"Honey,Oats,Almonds","Sweet,Mild"
87,Power Sea Salt Cookies,Confectionery,68.0,Active,2024-02-21,36-45,North America,"Sea Salt,Oats,Vanilla","Sweet,Mild"
88,Artisan Almonds Cookies,Confectionery,67.0,Active,2024-03-05,26-35,North America,"Almonds,Honey,Sea Salt","Sweet,Mild"
89,Premium Coconut Water Bar,Snacks,75.0,Active,2024-01-16,18-25,Asia Pacific,"Coconut Water,Vanilla,Honey","Sweet,Tropical"
90,Fresh Maple Syrup Chips,Snacks,66.0,Active,2024-02-26,26-35,North America,"Maple Syrup,Oats,Vanilla","Sweet,Mild"
91,Super Matcha Bowl,Cereals,90.0,Active,2024-03-08,26-35,Asia Pacific,"Matcha,Green Tea,Vanilla","Herbal,Sweet"
92,Golden Turmeric Cookies,Confectionery,84.0,Active,2024-01-20,18-25,North America,"Turmeric,Ginger,Coconut Milk","Spicy,Earthy"
93,Organic Acai Chips,Snacks,83.0,Active,2024-02-07,18-25,Latin America,"Acai,Berries,Banana","Fruity,Sweet"
94,Pure Spirulina Chips,Snacks,78.0,Active,2024-03-22,26-35,Europe,"Spirulina,Dates,Almonds","Earthy,Nutty"
95,Natural Quinoa Bar,Snacks,77.0,Active,2024-01-14,26-35,North America,"Quinoa,Almonds,Dates","Nutty,Mild"
96,Power Green Tea Chips,Snacks,81.0,Active,2024-02-24,18-25,Asia Pacific,"Green Tea,Yogurt,Honey","Herbal,Fresh"
97,Artisan Coconut Cookies,Confectionery,79.0,Active,2024-03-16,18-25,Asia Pacific,"Coconut,Vanilla,Honey","Sweet,Tropical"
98,Premium Ginger Bowl,Cereals,75.0,Active,2024-01-31,35-45,Asia Pacific,"Ginger,Green Tea,Vanilla","Spicy,Warm"
99,Fresh Oat Milk Cookies,Confectionery,76.0,Active,2024-02-18,26-35,North America,"Oat Milk,Vanilla,Honey","Sweet,Mild"
100,Super Dark Chocolate Bar,Snacks,74.0,Active,2024-03-11,25-35,Europe,"Dark Chocolate,Vanilla,Honey","Bitter,Rich"
101,Advanced Spirulina Smoothie,Beverages,58.1,Active,2025-08-11,26-35,Europe,"Spirulina, Matcha, Coconut","Earthy, Sweet"
